location_id,attribute_id,value
LOC-001,attr_01,FALSE
LOC-001,attr_02,TRUE
LOC-001,attr_03,FALSE
LOC-001,attr_04,TRUE
LOC-001,attr_05,TRUE
LOC-001,attr_07,TRUE
LOC-001,attr_08,FALSE
LOC-001,attr_09,TRUE
LOC-001,attr_10,TRUE
LOC-001,attr_11,TRUE
LOC-001,attr_12,FALSE
LOC-001,attr_14,TRUE
LOC-001,attr_15,FALSE
LOC-001,attr_16,TRUE
LOC-001,attr_17,TRUE
LOC-001,attr_18,FALSE
LOC-001,attr_19,TRUE
LOC-001,attr_22,TRUE
LOC-001,attr_23,FALSE
LOC-001,attr_24,TRUE
LOC-001,attr_25,FALSE
LOC-001,attr_26,TRUE
LOC-001,attr_27,TRUE
LOC-001,attr_28,TRUE
LOC-001,attr_29,TRUE
LOC-001,attr_30,TRUE
LOC-001,attr_31,TRUE
LOC-001,attr_32,TRUE
LOC-001,attr_33,TRUE
LOC-001,attr_34,TRUE
LOC-002,attr_03,TRUE
LOC-002,attr_05,TRUE
LOC-002,attr_06,FALSE
LOC-002,attr_07,FALSE
LOC-002,attr_08,TRUE
LOC-002,attr_09,TRUE
LOC-002,attr_11,TRUE
LOC-002,attr_12,TRUE
LOC-002,attr_13,TRUE
LOC-002,attr_15,FALSE
LOC-002,attr_18,FALSE
LOC-002,attr_20,TRUE
LOC-002,attr_21,TRUE
LOC-002,attr_22,TRUE
LOC-002,attr_23,FALSE
LOC-002,attr_24,TRUE
LOC-002,attr_25,TRUE
LOC-002,attr_26,TRUE
LOC-002,attr_29,TRUE
LOC-002,attr_31,TRUE
LOC-002,attr_33,TRUE
LOC-002,attr_34,FALSE
LOC-003,attr_02,TRUE
LOC-003,attr_03,FALSE
LOC-003,attr_04,FALSE
LOC-003,attr_05,TRUE
LOC-003,attr_06,TRUE
LOC-003,attr_13,TRUE
LOC-003,attr_14,TRUE
LOC-003,attr_15,TRUE
LOC-003,attr_16,TRUE
LOC-003,attr_17,TRUE
LOC-003,attr_18,TRUE
LOC-003,attr_20,TRUE
LOC-003,attr_21,FALSE
LOC-003,attr_24,FALSE
LOC-003,attr_25,TRUE
LOC-003,attr_26,TRUE
LOC-003,attr_28,TRUE
LOC-003,attr_31,FALSE
LOC-003,attr_32,FALSE
LOC-004,attr_01,TRUE
LOC-004,attr_02,TRUE
LOC-004,attr_04,TRUE
LOC-004,attr_05,FALSE
LOC-004,attr_06,FALSE
LOC-004,attr_08,TRUE
LOC-004,attr_10,TRUE
LOC-004,attr_11,TRUE
LOC-004,attr_12,TRUE
LOC-004,attr_13,FALSE
LOC-004,attr_16,TRUE
LOC-004,attr_17,TRUE
LOC-004,attr_18,TRUE
LOC-004,attr_19,TRUE
LOC-004,attr_20,TRUE
LOC-004,attr_23,TRUE
LOC-004,attr_24,FALSE
LOC-004,attr_25,TRUE
LOC-004,attr_26,TRUE
LOC-004,attr_29,TRUE
LOC-004,attr_30,TRUE
LOC-004,attr_33,TRUE
LOC-004,attr_34,TRUE
LOC-005,attr_01,FALSE
LOC-005,attr_02,TRUE
LOC-005,attr_03,TRUE
LOC-005,attr_04,TRUE
LOC-005,attr_05,TRUE
LOC-005,attr_06,TRUE
LOC-005,attr_07,FALSE
LOC-005,attr_08,TRUE
LOC-005,attr_09,TRUE
LOC-005,attr_10,TRUE
LOC-005,attr_11,TRUE
LOC-005,attr_12,TRUE
LOC-005,attr_13,TRUE
LOC-005,attr_15,FALSE
LOC-005,attr_16,TRUE
LOC-005,attr_17,FALSE
LOC-005,attr_18,FALSE
LOC-005,attr_19,TRUE
LOC-005,attr_21,TRUE
LOC-005,attr_22,TRUE
LOC-005,attr_23,TRUE
LOC-005,attr_24,TRUE
LOC-005,attr_25,FALSE
LOC-005,attr_26,TRUE
LOC-005,attr_27,TRUE
LOC-005,attr_28,TRUE
LOC-005,attr_29,FALSE
LOC-005,attr_30,FALSE
LOC-005,attr_31,TRUE
LOC-005,attr_33,TRUE
LOC-005,attr_34,TRUE
LOC-006,attr_01,FALSE
LOC-006,attr_02,TRUE
LOC-006,attr_05,TRUE
LOC-006,attr_07,TRUE
LOC-006,attr_08,FALSE
LOC-006,attr_09,TRUE
LOC-006,attr_10,TRUE
LOC-006,attr_11,FALSE
LOC-006,attr_15,TRUE
LOC-006,attr_16,FALSE
LOC-006,attr_18,TRUE
LOC-006,attr_19,TRUE
LOC-006,attr_20,TRUE
LOC-006,attr_22,TRUE
LOC-006,attr_23,TRUE
LOC-006,attr_24,TRUE
LOC-006,attr_26,TRUE
LOC-006,attr_27,TRUE
LOC-006,attr_28,TRUE
LOC-006,attr_29,TRUE
LOC-006,attr_30,TRUE
LOC-006,attr_31,TRUE
LOC-006,attr_32,TRUE
LOC-006,attr_33,TRUE
LOC-007,attr_01,TRUE
LOC-007,attr_03,TRUE
LOC-007,attr_04,FALSE
LOC-007,attr_05,FALSE
LOC-007,attr_06,TRUE
LOC-007,attr_07,TRUE
LOC-007,attr_08,TRUE
LOC-007,attr_09,FALSE
LOC-007,attr_10,TRUE
LOC-007,attr_12,FALSE
LOC-007,attr_14,TRUE
LOC-007,attr_15,FALSE
LOC-007,attr_17,TRUE
LOC-007,attr_18,TRUE
