keyword_id,location_id,week_start,rank_absolute,rank_in_local_pack,found,result_url
KW-0001,LOC-001,2026-06-15,12,,TRUE,https://brightpathdental.com/austin-mueller
KW-0001,LOC-001,2026-06-22,8,,TRUE,https://maps.google.com/?cid=977508740511756
KW-0001,LOC-001,2026-06-29,12,,TRUE,https://brightpathdental.com/austin-mueller
KW-0001,LOC-001,2026-07-06,8,,TRUE,https://brightpathdental.com/austin-mueller
KW-0001,LOC-001,2026-07-13,8,,TRUE,https://brightpathdental.com/austin-mueller
KW-0001,LOC-001,2026-07-20,10,,TRUE,https://maps.google.com/?cid=426417293759503
KW-0001,LOC-001,2026-07-27,12,,TRUE,https://maps.google.com/?cid=119224632464344
KW-0001,LOC-001,2026-08-03,11,,TRUE,https://brightpathdental.com/austin-mueller
KW-0001,LOC-001,2026-08-10,13,,TRUE,https://brightpathdental.com/austin-mueller
KW-0001,LOC-001,2026-08-17,11,,TRUE,https://brightpathdental.com/austin-mueller
KW-0001,LOC-001,2026-08-24,11,,TRUE,https://brightpathdental.com/austin-mueller
KW-0001,LOC-001,2026-08-31,9,,TRUE,https://brightpathdental.com/austin-mueller
KW-0001,LOC-001,2026-09-07,12,,TRUE,https://brightpathdental.com/austin-mueller
KW-0002,LOC-001,2026-06-15,6,,TRUE,https://brightpathdental.com/austin-mueller
KW-0002,LOC-001,2026-06-22,7,,TRUE,https://maps.google.com/?cid=445365157976231
KW-0002,LOC-001,2026-06-29,10,,TRUE,https://brightpathdental.com/austin-mueller
KW-0002,LOC-001,2026-07-06,10,,TRUE,https://maps.google.com/?cid=526925864170953
KW-0002,LOC-001,2026-07-13,8,,TRUE,https://brightpathdental.com/austin-mueller
KW-0002,LOC-001,2026-07-20,11,,TRUE,https://brightpathdental.com/austin-mueller
KW-0002,LOC-001,2026-07-27,11,,TRUE,https://brightpathdental.com/austin-mueller
KW-0002,LOC-001,2026-08-03,8,,TRUE,https://maps.google.com/?cid=503162266851598
KW-0002,LOC-001,2026-08-10,9,,TRUE,https://brightpathdental.com/austin-mueller
KW-0002,LOC-001,2026-08-17,9,,TRUE,https://brightpathdental.com/austin-mueller
KW-0002,LOC-001,2026-08-24,6,,TRUE,https://brightpathdental.com/austin-mueller
KW-0002,LOC-001,2026-08-31,6,,TRUE,https://brightpathdental.com/austin-mueller
KW-0002,LOC-001,2026-09-07,7,,TRUE,https://brightpathdental.com/austin-mueller
KW-0003,LOC-001,2026-06-15,6,,TRUE,https://brightpathdental.com/austin-mueller
KW-0003,LOC-001,2026-06-22,6,,TRUE,https://brightpathdental.com/austin-mueller
KW-0003,LOC-001,2026-06-29,7,,TRUE,https://brightpathdental.com/austin-mueller
KW-0003,LOC-001,2026-07-06,7,,TRUE,https://brightpathdental.com/austin-mueller
KW-0003,LOC-001,2026-07-13,9,,TRUE,https://brightpathdental.com/austin-mueller
KW-0003,LOC-001,2026-07-20,6,,TRUE,https://brightpathdental.com/austin-mueller
KW-0003,LOC-001,2026-07-27,9,,TRUE,https://maps.google.com/?cid=917350015944850
KW-0003,LOC-001,2026-08-03,9,,TRUE,https://brightpathdental.com/austin-mueller
KW-0003,LOC-001,2026-08-10,5,,TRUE,https://maps.google.com/?cid=401043672332739
KW-0003,LOC-001,2026-08-17,9,,TRUE,https://brightpathdental.com/austin-mueller
KW-0003,LOC-001,2026-08-24,9,,TRUE,https://brightpathdental.com/austin-mueller
KW-0003,LOC-001,2026-08-31,9,,TRUE,https://brightpathdental.com/austin-mueller
